id	filename	md5	size	state
19261604-4515-4e11-8d5f-71c99a3abb7d	unc.edu.79922276-6e00-4f17-851f-554f52f71520.2136295.bt.exon_quantification.txt	02622556ca2925b481e1ee0e573a491f	12659707	live
19ac8179-d595-4911-b445-b6f297c9000d	unc.edu.8666da07-07d0-417e-954b-c18e107bdeb1.1756586.bt.exon_quantification.txt	b637feac708a0c88e87f44b9689b0bd0	12893367	live
19ca3149-a703-4135-9ea9-0285fe94cfa6	unc.edu.02fc78ec-68ae-4326-8df1-4f69850b5edd.2658615.bt.exon_quantification.txt	14cfd67eea91b0f60d562589e4ff5b58	12755916	live
1ad9964f-c814-4ba0-98e7-eac8a77d2518	unc.edu.f57a7df0-0aaf-4181-b8c1-f50133964823.1754926.bt.exon_quantification.txt	82b27772ce9622908216a42668b5d80f	12055769	live
1bc4027e-a0bf-4e73-a353-a980d7f324b7	unc.edu.e6e404f0-3317-496c-b4f8-555408a3dfd6.2386734.bt.exon_quantification.txt	16155928e61ee353606200e940a51a1c	12876086	live
1c378d48-784b-4942-bb5f-cbfc14692aa8	unc.edu.bfb7a272-3b86-4d5d-a3df-6aea8fd3b66b.2446247.bt.exon_quantification.txt	65bffccc5478433a0dfda69717ad99cf	12722451	live
1c9ae0d4-72b9-4b37-84a5-ee588d081700	unc.edu.0120b5b1-d204-429a-aa21-704fd98624ea.1755653.bt.exon_quantification.txt	0abb3198e5e012a9c186bd1fb1705e85	12742148	live
1cff8d35-6bca-4802-b7b9-2d8b44e0c2f3	unc.edu.12358445-06b8-4055-8454-69b8544774fc.1754491.bt.exon_quantification.txt	dc60e1ebfa2714197718cd1cf768214e	12724484	live
1d05d057-a4d6-433b-a8f4-f50cffeb8b34	unc.edu.7dc99228-873b-44e1-a2cb-9bd2fe9d217f.1755797.bt.exon_quantification.txt	374f3a17b9462ebe339a5689091409e0	12618270	live
1d2c93d9-1199-4116-bdfd-24a210b01c4d	unc.edu.166b8cda-180b-4095-a991-69e79efec904.2397164.bt.exon_quantification.txt	0cb6554a08957434d4992a9e083ed172	12699850	live
1d8164cb-5858-4691-a0c8-84cb5d0f4784	unc.edu.9adad1de-52dd-48a2-b025-bc9081af4ac9.1772183.bt.exon_quantification.txt	67718de1209d88c2f56da587b90b6b72	12811166	live
1dc2f91c-905a-4fec-a86b-1427d2d17a9f	unc.edu.0c18423b-7a7e-440d-96a7-ec3815aa411c.2311181.bt.exon_quantification.txt	3558b50884effd92522d9d232d24e4e7	12831630	live
1dfb77cb-0ceb-4eb4-aba5-1cd00f70d1fe	unc.edu.e766089b-b399-4231-ad1a-139c4283a5bd.2044611.bt.exon_quantification.txt	876e18c361bedd3f714ae5c206f11b5b	12587068	live
1e65ba15-7925-4bd5-8349-a311b162dae6	unc.edu.99b27a89-5e60-4b2f-8d54-2bea08ac897c.2137479.bt.exon_quantification.txt	ab34e0788fa2ac9eb1f485cf402a931e	12381868	live
1f26db07-a172-49ba-b5b3-e6a7f2f72894	unc.edu.a461340b-d5cd-4600-9046-f3942bec1c19.1749588.bt.exon_quantification.txt	38a4fb11ff8d4e10e3c9931b32ed24f6	12876244	live
2151629d-36a8-4565-8e1a-65eb32398a0e	unc.edu.b9ec6c3f-9801-4c81-9c80-fabc85306c31.2391990.bt.exon_quantification.txt	b5a0850f757664c93e7e0e3453e10c1b	12787450	live
